id,question,options
845,"<p><span style=""background-color: transparent; color: rgb(51, 51, 51);"">If in a certain language, BIHAR is coded as CJIBS, how is DELHI coded in that language?</span></p><p><br></p><p><br></p>","[{""label"": ""CDKGH"", ""value"": ""A""}, {""label"": ""EFMIJ"", ""value"": ""B""}, {""label"": ""FGNJK"", ""value"": ""C""}, {""label"": ""IHLED"", ""value"": ""D""}]"
846,"<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">&nbsp;</span><span style=""background-color: transparent; color: rgb(51, 51, 51);"">All flowers in the nursery are blue.</span></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(51, 51, 51);"">II. Some of the flowers are violets.</span></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(51, 51, 51);"">III. All violets in the nursery are blue.</span></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(51, 51, 51);"">If the first two statements are true, the third statement is</span></p><p><br></p><p><br></p>","[{""label"": ""False "", ""value"": ""A""}, {""label"": ""True"", ""value"": ""B""}, {""label"": ""Uncertain"", ""value"": ""C""}]"
847,"<p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Select</span><span style=""background-color: transparent; color: rgb(51, 51, 51);""> three figures out of the following five figures which when fitted into each other would form a square.</span></p><p><br></p><p><img src=""https://d2ny4i6ieyrjfu.cloudfront.net/prod/ASSESSMENT_PROCESSOR/L2MNXU_Q 14.png""></p>","[{""label"": ""1, 2, 4"", ""value"": ""A""}, {""label"": ""1, 2, 5"", ""value"": ""B""}, {""label"": ""5, 3, 1"", ""value"": ""C""}, {""label"": ""2, 3, 4"", ""value"": ""D""}]"
833,"<p><span style=""background-color:transparent"">If the sum of five consecutive even integers in 740, what is the largest of these integers (source: SAT 2006)</span></p>","[{""label"": ""144"", ""value"": ""A""}, {""label"": ""146"", ""value"": ""B""}, {""label"": ""152"", ""value"": ""C""}, {""label"": ""156"", ""value"": ""D""}]"
842,"<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">LAWYER: COURTROOM</span></p><p><br></p><p><br></p>","[{""label"": ""Participant: Team"", ""value"": ""A""}, {""label"": ""Doctor: Clinic"", ""value"": ""B""}, {""label"": ""Teacher: Teaching"", ""value"": ""C""}, {""label"": ""Student: University"", ""value"": ""D""}]"
843,"<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">&nbsp;Cat is to mouse as bird is </span><span style=""background-color: transparent; color: rgb(51, 51, 51);"">to</span></p><p><br></p><p><br></p>","[{""label"": ""Bear"", ""value"": ""A""}, {""label"": ""Worm"", ""value"": ""B""}, {""label"": ""Tree"", ""value"": ""C""}, {""label"": ""Vulture"", ""value"": ""D""}]"
844,"<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Arrange the following words in a meaningful sequence.</span></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">1. Cow</span></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">2. Grass</span></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">3. Milk</span></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">4. Curd</span></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">5. Butter</span></p><p><br></p><p><br></p>","[{""label"": ""1, 3, 2, 4, 5"", ""value"": ""A""}, {""label"": ""4, 3, 5, 1, 2"", ""value"": ""B""}, {""label"": ""3, 4, 5, 1, 2"", ""value"": ""C""}, {""label"": ""1, 2, 3, 4, 5"", ""value"": ""D""}]"
851,"<p><img src=""https://d2ny4i6ieyrjfu.cloudfront.net/prod/ASSESSMENT_PROCESSOR/10NPNB_Q 18.png""></p>","[{""label"": ""A"", ""value"": ""A""}, {""label"": ""B"", ""value"": ""B""}, {""label"": ""C"", ""value"": ""C""}, {""label"": ""D"", ""value"": ""D""}, {""label"": ""E"", ""value"": ""E""}]"
852,"<p><img src=""https://d2ny4i6ieyrjfu.cloudfront.net/prod/ASSESSMENT_PROCESSOR/4G959S_Q 19.png""></p>","[{""label"": ""A"", ""value"": ""A""}, {""label"": ""B"", ""value"": ""B""}, {""label"": ""C"", ""value"": ""C""}, {""label"": ""D"", ""value"": ""D""}, {""label"": ""E"", ""value"": ""E""}]"
853,"<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Which word does NOT belong with others?</span></p><p><br></p><p><br></p>","[{""label"": ""Leopard"", ""value"": ""A""}, {""label"": ""Cougar"", ""value"": ""B""}, {""label"": ""Elephant "", ""value"": ""C""}, {""label"": ""Lion"", ""value"": ""D""}]"
874,"<p><span style=""background-color:transparent; color:#000000""><img src=""https://d2ny4i6ieyrjfu.cloudfront.net/prod/ASSESSMENT_PROCESSOR/TXTLPT_image8 square.png"" /></span></p>

<p><span style=""background-color:transparent; color:#000000"">Find the number that will replace the question mark.</span></p>","[{""label"": ""3"", ""value"": ""A""}, {""label"": ""4"", ""value"": ""B""}, {""label"": ""5"", ""value"": ""C""}, {""label"": ""6"", ""value"": ""D""}]"
873,"<p><span style=""background-color:transparent; color:#000000""><img src=""https://d2ny4i6ieyrjfu.cloudfront.net/prod/ASSESSMENT_PROCESSOR/750ED4_image6.png"" /></span></p>

<p><span style=""background-color:transparent; color:#000000"">Solve to replace the question mark with the answer.</span></p>","[{""label"": ""23"", ""value"": ""A""}, {""label"": ""33"", ""value"": ""B""}, {""label"": ""38"", ""value"": ""C""}, {""label"": ""42"", ""value"": ""D""}]"
871,"<p><span style=""background-color:transparent; color:#000000""><img src=""https://d2ny4i6ieyrjfu.cloudfront.net/prod/ASSESSMENT_PROCESSOR/XL5JDM_image1 faces collage.png"" /></span></p>

<p><span style=""background-color:transparent; color:#000000"">Which portrait should be put instead of the question mark?</span></p>","[{""image"": ""prod/ASSESSMENT_PROCESSOR/O5SNY2_image9.png"", ""label"": ""A"", ""value"": ""A""}, {""image"": ""prod/ASSESSMENT_PROCESSOR/P2S2H4_image3.png"", ""label"": ""B"", ""value"": ""B""}, {""image"": ""prod/ASSESSMENT_PROCESSOR/812IMM_image2.png"", ""label"": ""C"", ""value"": ""C""}, {""image"": ""prod/ASSESSMENT_PROCESSOR/SLSUPY_image7.png"", ""label"": ""D"", ""value"": ""D""}]"
870,"<p><span style=""background-color:transparent; color:#000000""><img src=""https://d2ny4i6ieyrjfu.cloudfront.net/prod/ASSESSMENT_PROCESSOR/YCH838_image5 equation.jpg"" /></span></p>

<p><span style=""background-color:transparent; color:#000000"">Solve the equation.</span></p>","[{""label"": ""21"", ""value"": ""A""}, {""label"": ""28"", ""value"": ""B""}, {""label"": ""30"", ""value"": ""C""}, {""label"": ""39"", ""value"": ""D""}]"
885,"<p><span style=""background-color:transparent; color:#000000"">Statement A</span></p>

<p><span style=""background-color:transparent; color:#000000"">Alexa walked straight west for five miles, turned left and walked for two miles, and then turned right and walked for two more miles. She stopped to take a rest midway. She was facing in the direction of the setting sun when she took a break.</span></p>

<p>&nbsp;</p>

<p><span style=""background-color:transparent; color:#000000"">Statement B</span></p>

<p><span style=""background-color:transparent; color:#000000"">Alexa walked straight west for five miles, turned left and walked for two mils, and then turned right and walked four two more miles. She stopped to take a rest midway. She was facing in the direction of the setting sun when she took a break.</span></p>

<p>&nbsp;</p>

<p><span style=""background-color:transparent; color:#000000"">How many words were copied wrong in statement B?</span></p>

<p>&nbsp;</p>

<p>&nbsp;</p>","[{""label"": ""0 words"", ""value"": ""A""}, {""label"": ""1 word"", ""value"": ""B""}, {""label"": ""2 words"", ""value"": ""C""}, {""label"": ""3 words"", ""value"": ""D""}]"
883,"<table border=""1"" cellpadding=""1"" cellspacing=""1"" class=""questions-table"" style=""width:500px"">
	<tbody>
		<tr>
			<td><span style=""background-color:transparent; color:#000000"">Vivek arora </span></td>
			<td><span style=""background-color:transparent; color:#000000"">Vivek Arrora</span></td>
		</tr>
		<tr>
			<td><span style=""background-color:#ffffff; color:#000000"">1255 34th</span></td>
			<td><span style=""background-color:#ffffff; color:#000000"">1255 34th</span></td>
		</tr>
		<tr>
			<td><span style=""background-color:#ffffff; color:#000000"">11/05/2018</span></td>
			<td><span style=""background-color:#ffffff; color:#000000"">11/052018</span></td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p><span style=""background-color:transparent; color:#000000"">﻿How many errors are there in the right column address?</span></p>

<p>&nbsp;</p>

<p>&nbsp;</p>","[{""label"": ""0 errors"", ""value"": ""A""}, {""label"": ""1 error"", ""value"": ""B""}, {""label"": ""2 errors"", ""value"": ""C""}, {""label"": ""3 errors"", ""value"": ""D""}]"
888,"<p><img src=""https://d2ny4i6ieyrjfu.cloudfront.net/prod/ASSESSMENT_PROCESSOR/ZF4XAD_image10.jpg"" /></p>

<p>&nbsp;</p>

<p><span style=""background-color:transparent; color:#000000"">What shape is there inside the circle?</span></p>

<p>&nbsp;</p>","[{""label"": ""Yellow"", ""value"": ""A""}, {""label"": ""Square"", ""value"": ""B""}, {""label"": ""Green"", ""value"": ""C""}, {""label"": ""Triangle"", ""value"": ""D""}]"
878,"<p><span style=""color:#000000"">Both sides should match exactly. If they don&rsquo;t match select:</span></p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" class=""questions-table"" style=""width:500px"">
	<tbody>
		<tr>
			<td>Mukesh Chaudhary</td>
			<td>Mukesh Chaudhry</td>
		</tr>
		<tr>
			<td>381986</td>
			<td>381086</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>","[{""label"": ""Just in the name"", ""value"": ""A""}, {""label"": ""Just in the phone number"", ""value"": ""B""}, {""label"": ""In both the name and phone number"", ""value"": ""C""}, {""label"": ""In neither"", ""value"": ""D""}]"
879,"<p><span style=""color:#000000"">If there is a difference, indicate how many of the lines are incorrect: </span></p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" class=""questions-table"" style=""width:500px"">
	<tbody>
		<tr>
			<td>
			<p>Fredf@thegreatstore</p>
			</td>
			<td>Freds@thegreatstore</td>
		</tr>
		<tr>
			<td>Michaels@naturaltraining</td>
			<td>Michaels@naturaltraining</td>
		</tr>
		<tr>
			<td>Olesonh@machineomatic</td>
			<td>Olesonh@machineomatic</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>","[{""label"": ""Just one line"", ""value"": ""A""}, {""label"": ""Two lines"", ""value"": ""B""}, {""label"": ""All three lines"", ""value"": ""C""}, {""label"": ""None of them"", ""value"": ""D""}]"
875,"<p><span style=""background-color:transparent; color:#333333"">Compare the samples on the left to the samples on the right.</span></p>

<p>&nbsp;</p>

<p><span style=""background-color:transparent; color:#333333"">Select the option on the right side that matches the sample on the left.</span></p>

<p>&nbsp;</p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" class=""questions-table"" dir=""ltr"" style=""width:500px"">
	<tbody>
		<tr>
			<td><span style=""background-color:#ffffff; color:#333333"">ZY96828</span></td>
			<td><span style=""background-color:#ffffff; color:#333333""><strong>A.</strong> ZY96288</span></td>
		</tr>
		<tr>
			<td>&nbsp;</td>
			<td><span style=""background-color:#ffffff; color:#333333""><strong>B.</strong> ZY69828</span></td>
		</tr>
		<tr>
			<td>&nbsp;</td>
			<td><span style=""background-color:#ffffff; color:#333333""><strong>C.</strong> ZY96828</span></td>
		</tr>
		<tr>
			<td>&nbsp;</td>
			<td><span style=""background-color:#ffffff; color:#333333""><strong>D.</strong> ZY96882</span></td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>","[{""label"": ""A"", ""value"": ""A""}, {""label"": ""B"", ""value"": ""B""}, {""label"": ""C"", ""value"": ""C""}, {""label"": ""D"", ""value"": ""D""}]"
886,"<p><span style=""background-color:transparent; color:#000000"">How many of the 5 pairs below are exact duplicates?</span></p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" class=""questions-table"" style=""width:500px"">
	<tbody>
		<tr>
			<td><span style=""background-color:transparent; color:#000000"">Ramesh Jain</span></td>
			<td><span style=""background-color:transparent; color:#000000"">Ramesh Jain</span></td>
		</tr>
		<tr>
			<td><span style=""background-color:transparent; color:#000000"">Mercedes</span></td>
			<td>Mercedez</td>
		</tr>
		<tr>
			<td>Philip Jones</td>
			<td>Phillip Jones</td>
		</tr>
		<tr>
			<td><span style=""background-color:transparent; color:#000000"">Barnaby Usansky</span></td>
			<td>Barnaby Usansky</td>
		</tr>
		<tr>
			<td><span style=""background-color:transparent; color:#000000"">Jack Reeder </span></td>
			<td>Jack Reader</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>","[{""label"": ""1"", ""value"": ""A""}, {""label"": ""2"", ""value"": ""B""}, {""label"": ""3"", ""value"": ""C""}, {""label"": ""4"", ""value"": ""D""}]"
830,"<p><span style=""background-color:transparent; color:#000000"">The next number in the following sequence would be 3, 5, 8, 13, 21, 34, ___.</span></p>","[{""label"": ""22"", ""value"": ""A""}, {""label"": ""47"", ""value"": ""B""}, {""label"": ""53"", ""value"": ""C""}, {""label"": ""55"", ""value"": ""D""}, {""label"": ""60"", ""value"": ""E""}]"
823,"<p><span style=""background-color:transparent; color:#000000"">A person can plough a field in 25 days. In how many days will 15 people be able to complete the job?</span></p>","[{""label"": ""2/3 Days"", ""value"": ""A""}, {""label"": ""8/3 days"", ""value"": ""B""}, {""label"": ""1 and ⅔ days"", ""value"": ""C""}, {""label"": "" 2 and 5/3 days "", ""value"": ""D""}, {""label"": ""22"", ""value"": ""E""}]"
